observed_at,stage,host,port,protocol,decision,reason
2026-07-26T08:08:46Z,probe,127.0.0.1,19679,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19680,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19681,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19682,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19683,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19684,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19685,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19686,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19687,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19688,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19689,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19690,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19691,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19692,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19693,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19694,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19695,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19696,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19697,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19698,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19699,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19700,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19701,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19702,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19703,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19704,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19705,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19706,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19707,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19708,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19709,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19710,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19711,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19712,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19713,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19714,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19715,tcp,deny,out of scope
